Count of id,Sum of loan_amount,Sum of total_payment,Average of int_rate,Average of dti,
38576,435757075,473070933,12.05%,13.33%,
,,,,,
,,,,,
,,,,,
Row Labels,Count of id,Sum of loan_amount,Sum of total_payment,Average of int_rate,Average of dti
Dec,4314,53981425,58074380,12.36%,13.67%
Grand Total,4314,53981425,58074380,12.36%,13.67%
,,,,,
,,,,,
